count,temp,flour,replicate,live,dead
9,27.5,B,1,116,0
9,27.5,B,2,99,0
9,27.5,B,3,104,1
9,27.5,G,1,117,3
9,27.5,G,2,115,4
9,27.5,G,3,118,0
9,27.5,VG,1,122,0
9,27.5,VG,2,165,2
9,27.5,VG,3,168,4
9,30,B,1,117,2
9,30,B,2,109,3
9,30,B,3,91,1
9,30,G,1,131,4
9,30,G,2,119,4
9,30,G,3,131,0
9,30,VG,1,162,4
9,30,VG,2,152,3
9,30,VG,3,164,2
9,32.5,B,1,76,1
9,32.5,B,2,112,0
9,32.5,B,3,102,4
9,32.5,G,1,122,3
9,32.5,G,2,106,4
9,32.5,G,3,127,4
9,32.5,VG,1,157,2
9,32.5,VG,2,121,5
9,32.5,VG,3,118,0
9,35,B,1,57,5
9,35,B,2,63,8
9,35,B,3,78,6
9,35,G,1,60,6
9,35,G,2,93,9
9,35,G,3,94,4
9,35,VG,1,105,1
9,35,VG,2,104,1
9,35,VG,3,77,5
10,27.5,B,1,116,0
10,27.5,B,2,101,0
10,27.5,B,3,103,1
10,27.5,G,1,105,2
10,27.5,G,2,113,0
10,27.5,G,3,118,0
10,27.5,VG,1,123,0
10,27.5,VG,2,154,1
10,27.5,VG,3,168,0
10,30,B,1,116,2
10,30,B,2,116,2
10,30,B,3,121,2
10,30,G,1,135,0
10,30,G,2,118,1
10,30,G,3,133,3
10,30,VG,1,159,1
10,30,VG,2,154,0
10,30,VG,3,161,1
10,32.5,B,1,83,0
10,32.5,B,2,109,2
10,32.5,B,3,96,3
10,32.5,G,1,118,2
10,32.5,G,2,108,2
10,32.5,G,3,130,1
10,32.5,VG,1,183,2
10,32.5,VG,2,125,1
10,32.5,VG,3,167,3
10,35,B,1,72,8
10,35,B,2,78,3
10,35,B,3,91,7
10,35,G,1,53,8
10,35,G,2,117,12
10,35,G,3,83,17
10,35,VG,1,119,6
10,35,VG,2,124,2
10,35,VG,3,72,19
11,27.5,B,1,131,0
11,27.5,B,2,105,0
11,27.5,B,3,102,0
11,27.5,G,1,113,2
11,27.5,G,2,124,1
11,27.5,G,3,114,2
11,27.5,VG,1,159,1
11,27.5,VG,2,151,4
11,27.5,VG,3,157,0
11,30,B,1,114,1
11,30,B,2,119,6
11,30,B,3,115,2
11,30,G,1,138,2
11,30,G,2,111,3
11,30,G,3,134,0
11,30,VG,1,165,0
11,30,VG,2,144,4
11,30,VG,3,159,1
11,32.5,B,1,77,3
11,32.5,B,2,134,7
11,32.5,B,3,92,4
11,32.5,G,1,143,1
11,32.5,G,2,151,7
11,32.5,G,3,138,5
11,32.5,VG,1,186,2
11,32.5,VG,2,136,2
11,32.5,VG,3,195,4
11,35,B,1,69,2
11,35,B,2,73,4
11,35,B,3,79,10
11,35,G,1,42,8
11,35,G,2,113,1
11,35,G,3,84,1
11,35,VG,1,105,10
11,35,VG,2,113,8
11,35,VG,3,68,17
